Proposal,MRV,For,Against,Abstain,Total
1.01 Arthur B. Winkleblack,For,146659348.18,1256164.39,370187.2,148285699.78
1.02 Peter W. May,For,144479677.59,3420541.95,376480.24,148285699.78
1.03 Matthew H. Pultz,For,145869171.87,1978000.23,438527.67,148285699.78
1.04 Wendy C. Arlin,For,146759676.37,1151150.86,417872.54,148285699.78
1.05 Michelle Caruso-Cabrera,For,147063361.8,799851.85,422486.12,148285699.78
1.06 Kristin A. Dolan,For,137496565.43,10336904.3,452230.04,148285699.78
1.07 Richard H. Gómez,For,146838228.06,1068213.86,379257.86,148285699.78
1.08 Michelle J. Mathews-Spradlin,For,146720541.41,1109516.29,455142.08,148285699.78
1.09 Peter R. Huntschild,For,146559030.8,2320593.61,227175.96,148285699.78
1.10 Kirk Tanner,For,147012234.99,930777.01,342687.77,148285699.78
2. Deloitte & Touche LLP ratification,For,168545287.44,1726382.02,494630.31,170766299.78
3. Advisory resolution on executive comp.,For,144037450.59,3281617.03,262632.15,148285699.78
4. Emissions reduction proposal,Against,274902.6,139284734.87,1521902.9,148285699.78
5. Worker-driven social responsibility proposal,Against,1107878.2,135626281.55,1580540.53,148285699.78
6. Single-use plastics proposal,Against,1286818.25,133986762.96,1418918.56,148285699.78
